,CountryISO3;CountryName;IndicatorId;2014-2015;2015-2016;2016-2017;2017-2018
0,AGO;Angola;535;2.249.658;;;
1,ALB;Albania;535;379.731.984;3.932.861.223;4.106.943.527;4.263.843.536
2,ARE;United Arab Emirates;535;6.428.505.578;6.428.505.578;634.413.965;6.231.951.714
3,ARG;Argentina;535;3.002.203.589;298.526.772;313.828.103;3.253.046.036
4,ARM;Armenia;535;4.421.635.248;4.313.498.436;4.266.522.567;4.277.628.899
5,AUS;Australia;535;5.062.157.876;4.856.801.695;480.110.926;4.698.541.641
6,AUT;Austria;535;6.205.885.272;6.048.092.467;5.913.297.763;5.851.210.594
7,AZE;Azerbaijan;535;4.805.579.688;4.805.579.688;4.799.908.129;4.989.622.116
8,BDI;Burundi;535;2.750.610.241;2.750.610.241;2.217.992.325;2.392.444.611
9,BEL;Belgium;535;575.580.005;5.407.653.491;5.076.217.782;4.868.750.095
10,BEN;Benin;535;;2.460.317.373;240.514.276;2.376.847.029
11,BFA;Burkina Faso;535;2.369.452.244;;;
12,BGD;Bangladesh;535;2.816.925.252;2.847.684.598;2.822.864.493;2.914.158.106
13,BGR;Bulgaria;535;359.457.064;3.697.763.476;3.882.734.467;3.889.013.767
14,BHR;Bahrain;535;5.565.763.508;5.310.962.118;5.175.051.951;5.175.052.166
15,BIH;Bosnia and Herzegovina;535;;3.059.406.042;3.235.904.885;3.411.338.091
16,BLZ;Belize;535;;;;
17,BOL;Bolivia;535;3.598.453.515;3.308.116.452;3.012.727.124;
18,BRA;Brazil;535;3.107.869.183;2.872.005.916;2.991.059.541;3.137.576.818
19,BRB;Barbados;535;5.556.579.612;;5.089.326.446;
20,BRN;Brunei Darussalam;535;;;4.135.135.174;4.363.539.696
21,BTN;Bhutan;535;4.627.604.877;3.992.615.567;3.946.689.041;433.689.642
22,BWA;Botswana;535;3.770.599.388;3.800.518.193;3.954.002.756;3.865.415.335
23,CAN;Canada;535;5.646.891.825;5.363.631.861;5.212.012.325;5.210.396.767
24,CHE;Switzerland;535;6.606.306.224;647.243.596;6.504.726.954;6.647.141.933
25,CHL;Chile;535;4.737.444.625;4.572.903.181;4.533.416.857;473.211.813
26,CHN;China;535;4.360.680.051;4.475.762.133;4.545.902.406;4.533.333.778
27,CIV;Cote d'Ivoire;535;4.028.238.124;447.776.634;4.238.089.134;
28,CMR;Cameroon;535;3.156.185.363;3.075.233.805;2.196.367.594;2.298.566.341
29,"COD;Congo, Dem. Rep.;535;;;1.886.363.626;2.016.732.931"
30,COL;Colombia;535;3.410.940.766;316.652.782;3.035.867.438;3.109.356.403
31,CPV;Cabo Verde;535;3.669.464.287;3.606.790.824;3.567.857.134;3.698.783.398
32,CRI;Costa Rica;535;355.453.846;3.344.751.757;3.207.500.206;3.094.289.064
33,CYP;Cyprus;535;5.228.263.865;4.630.982.399;4.397.942.587;4.718.708.992
34,CZE;Czech Republic;535;5.033.029.665;4.856.403.036;4.729.365.945;4.609.691.143
35,DEU;Germany;535;6.027.712.653;5.874.393.036;5.684.698.748;5.719.192.505
36,DNK;Denmark;535;5.785.045.505;5.848.746.066;5.845.931.627;5.832.118.034
37,DOM;Dominican Republic;535;3.673.480.081;3.457.427.543;347.046.175;3.553.068.161
38,DZA;Algeria;535;3.589.956.938;3.376.275.587;3.290.370.958;345.496.726
39,ECU;Ecuador;535;;4.589.285.851;4.503.101.154;4.523.515.701
40,"EGY;Egypt, Arab Rep.;535;2.941.079.436;3.140.830.945;3.140.830.945;402.020.216"
41,ESP;Spain;535;593.014.603;573.261.553;5.507.042.277;5.513.834
42,EST;Estonia;535;5.161.775.121;5.044.463.996;5.187.948.327;5.369.565.487
43,ETH;Ethiopia;535;3.206.219.071;3.163.067.127;3.449.760.587;3.517.645.597
44,FIN;Finland;535;6.391.833.194;621.140.182;613.326.337;6.099.680.901
45,FRA;France;535;6.053.747.668;5.949.722.827;6.034.573.528;6.051.942.825
46,GAB;Gabon;535;2.884.565.424;3.079.895.828;2.920.995.619;
47,GBR;United Kingdom;535;534.842.792;5.312.448.762;5.150.187.425;4.986.065.865
48,GEO;Georgia;535;4.625.657.895;4.232.859.802;3.970.597.504;3.923.647.642
49,GHA;Ghana;535;3.357.557.748;302.630.451;3.238.618.493;3.690.955.639
50,GIN;Guinea;535;2.095.327.016;2.095.327.016;;2.578.125
51,"GMB;Gambia, The;535;417.163.356;389.344.098;3.696.668.491;4.087.337.017"
52,GRC;Greece;535;457.585.123;4.323.827.776;4.178.291.586;4.343.558.788
53,GTM;Guatemala;535;4.464.668.364;4.028.380.503;3.555.063.291;3.363.133.669
54,GUY;Guyana;535;3.823.642.759;3.559.736.679;;
55,"HKG;Hong Kong SAR, China;535;6.469.833.358;6.390.468.698;6.390.468.698;6.351.648.331"
56,HND;Honduras;535;3.473.666.595;3.719.312.788;3.660.192.962;3.592.039.585
57,HRV;Croatia;535;4.912.723.052;45.868.982;4.498.395.645;4.709.223.747
58,HTI;Haiti;535;218.391.951;2.150.333.055;;2.019.607.782
59,HUN;Hungary;535;498.876.913;4.726.036.952;4.492.022.841;4.533.150.673
60,IDN;Indonesia;535;4.166.797.518;3.816.054.923;379.339.968;4.128.623.009
61,IND;India;535;3.746.505.885;3.960.446.753;4.450.285.274;4.561.677.933
62,IRL;Ireland;535;505.075.987;4.936.901.067;4.680.181.546;4.362.379.074
63,"IRN;Iran, Islamic Rep.;535;3.925.494.434;3.929.050.417;3.960.948.758;3.963.938.951"
64,ISL;Iceland;535;6.198.184.448;5.982.592.921;5.837.865.914;5.599.850.178
65,ISR;Israel;535;4.405.476.261;4.290.322.507;467.145.798;4.911.572.933
66,ITA;Italy;535;4.585.258.895;4.109.665.395;4.276.265.745;4.277.553.558
67,JAM;Jamaica;535;4.205.092.811;3.982.848.152;4.073.752.607;4.172.176.361
68,JOR;Jordan;535;4.793.222.283;4.431.583.113;4.503.641.228;420.862.484
69,JPN;Japan;535;6.155.291.576;6.154.918.738;6.186.395.786;6.197.003.841
70,KAZ;Kazakhstan;535;4.419.669.839;4.221.835.368;3.998.199.752;3.909.531.355
71,KEN;Kenya;535;4.349.197.687;4.162.652.298;4.296.078.482;4.301.241.875
72,KGZ;Kyrgyz Republic;535;3.627.046.783;3.312.609.564;2.955.043.661;3.036.874.771
73,KHM;Cambodia;535;3.365.100.894;336.078.998;342.762.104;341.007.781
74,"KOR;Korea, Rep.;535;5.491.959.809;5.559.459.186;5.568.027.282;5.651.405.811"
75,KWT;Kuwait;535;4.315.187.202;4.103.777.095;422.280.783;4.125.414.371
76,LAO;Lao PDR;535;4.347.291.516;3.924.305.357;3.744.965.476;3.759.013.176
77,LBN;Lebanon;535;2.278.821.389;2.356.060.701;2.339.315.053;2.332.921.505
78,LBR;Liberia;535;;3.040.540.457;2.927.632.375;2.573.236.942
79,LBY;Libya;535;185.489.866;;;
80,LKA;Sri Lanka;535;5.047.558.054;5.054.661.843;4.370.108.712;3.884.459.734
81,LSO;Lesotho;535;3.599.416.194;3.766.840.248;3.399.305.842;2.653.056.145
82,LTU;Lithuania;535;4.921.613.294;4.945.202.681;5.052.151.701;4.940.376.282
83,LUX;Luxembourg;535;5.873.949.115;5.600.799.034;5.558.495.847;5.615.082.264
84,LVA;Latvia;535;5.002.509.821;4.844.122.062;4.433.336.796;4.265.236.855
85,MAR;Morocco;535;4.595.246.838;4.356.321.316;4.489.664.289;4.664.927.959
86,MDA;Moldova;535;3.810.098.149;3.502.143.535;3.114.678.703;3.328.729.868
87,MDG;Madagascar;535;3.088.530.905;2.641.179.203;2.748.879.242;2.658.239.603
88,MEX;Mexico;535;4.221.645.802;4.117.168.927;408.466.834;4.070.586.205
89,"MKD;Macedonia, FYR;535;3.914.937.791;392.493.006;4.059.390.359;"
90,MLI;Mali;535;3.591.304.728;3.209.747.326;2.401.907.758;271.579.051
91,MLT;Malta;535;4.890.422.046;44.119.622;4.218.525.766;417.305.994
92,MMR;Myanmar;535;2.342.481.816;241.677.427;;
93,MNE;Montenegro;535;3.733.006.255;352.756.392;3.404.214.918;3.634.852.409
94,MNG;Mongolia;535;3.110.126.527;3.266.249.979;3.244.340.589;3.258.268.118
95,MOZ;Mozambique;535;2.962.228.724;2.667.029.557;2.586.132.121;2.484.745.741
96,MRT;Mauritania;535;263.815.913;2.402.306.106;1.555.754.211;1.516.202.688
97,MUS;Mauritius;535;4.746.174.822;4.579.701.052;4.578.195.183;4.492.791.176
98,MWI;Malawi;535;3.131.065.403;2.753.386.842;2.498.589.216;2.478.404.522
99,MYS;Malaysia;535;5.625.743.132;5.625.863.885;548.414.042;5.311.330.318
100,NAM;Namibia;535;497.898.526;4.707.376.809;4.532.273.372;4.568.369.865
101,NGA;Nigeria;535;267.462.818;2.448.035.974;2.316.778.889;2.316.082.478
102,NIC;Nicaragua;535;3.308.288.968;3.227.334.897;3.227.334.897;3.510.638.237
103,NLD;Netherlands;535;6.263.237.551;6.311.317.348;6.211.064.181;6.230.635.166
104,NOR;Norway;535;5.306.424.943;5.045.010.016;4.846.646.267;5.197.991.371
105,NPL;Nepal;535;2.932.171.235;2.740.929.864;2.577.836.396;286.577.034
106,NZL;New Zealand;535;5.118.911.428;4.959.586.191;4.797.901.687;4.760.043.144
107,OMN;Oman;535;5.443.738.731;4.893.687.048;4.876.968.667;4.876.968.861
108,PAK;Pakistan;535;3.318.671.371;3.484.310.116;3.453.185.032;3.789.005.756
109,PAN;Panama;535;5.010.549.336;477.369.912;469.326.425;4.704.954.624
110,PER;Peru;535;3.498.420.795;3.152.927.609;3.003.975.857;3.089.028.835
111,PHL;Philippines;535;3.657.487.762;33.050.247;3.039.667.284;2.961.179.733
112,POL;Poland;535;3.990.580.863;4.102.319.517;4.176.301.869;4.248.186.588
113,PRI;Puerto Rico;535;4.906.206.547;;;
114,PRT;Portugal;535;6.013.409.088;5.711.661.625;5.550.650.387;5.693.336.964
115,PRY;Paraguay;535;2.678.412.708;2.545.981.737;2.389.414.569;2.559.470.415
116,QAT;Qatar;535;5.420.609.986;5.594.196.406;5.074.196.339;5.211.749.554
117,ROU;Romania;535;3.793.475.592;3.613.692.463;3.350.897.709;3.312.868.357
118,RUS;Russian Federation;535;412.930.648;412.930.648;3.995.290.428;3.982.001.543
119,RWA;Rwanda;535;4.259.869;4.455.228.215;4.618.435.288;4.683.115.482
120,SAU;Saudi Arabia;535;5.238.901.221;4.942.351.193;4.890.910.943;4.920.776.367
121,SEN;Senegal;535;3.619.999.861;3.758.295.157;2.817.068.636;2.920.382.738
122,SGP;Singapore;535;6.286.295.833;6.387.624.349;6.394.908.483;6.415.508.747
123,SLE;Sierra Leone;535;290.348.443;2.376.931.981;2.399.969.294;2.634.381.294
124,SLV;El Salvador;535;4.572.245.336;4.032.832.063;3.509.507.979;3.303.022.146
125,SRB;Serbia;535;3.349.102.979;3.147.492.886;3.202.525.234;3.502.137.661
126,SUR;Suriname;535;395.648.353;;;
127,SVK;Slovak Republic;535;4.165.418.599;4.495.504.701;4.422.407.203;4.240.309.238
128,SVN;Slovenia;535;5.069.367.676;4.851.739.174;4.629.972.923;4.592.378.616
129,SWE;Sweden;535;5.693.897.989;556.168.364;5.502.351.519;5.628.148.079
130,SWZ;Swaziland;535;3.999.639.343;383.518.523;;3.836.734.772
131,SYC;Seychelles;535;4.652.125.992;4.652.125.992;;4.673.913.002
132,SYR;Syrian Arab Republic;535;;;;
133,TCD;Chad;535;2.279.302.952;2.432.494.932;1.728.911.584;1.820.748.448
134,THA;Thailand;535;40.670.348;4.011.281.857;403.398.229;4.129.854.202
135,TJK;Tajikistan;535;3.425.531.864;3.761.042.325;4.173.214.234;4.173.213.959
136,TLS;Timor-Leste;535;2.868.678.288;;;
137,TTO;Trinidad and Tobago;535;4.649.552.033;4.344.140.918;4.225.645.441;4.331.965.923
138,TUN;Tunisia;535;3.919.989.849;3.673.942.031;3.658.027.857;3.687.209.606
139,TUR;Turkey;535;5.100.125.051;4.893.728.149;4.976.790.407;4.976.790.428
140,TZA;Tanzania;535;3.154.717.809;3.128.758.168;3.516.310.448;3.587.766.409
141,UGA;Uganda;535;3.510.748.892;3.539.417.064;3.379.934.609;3.330.399.275
142,UKR;Ukraine;535;4.109.221.991;3.807.098.305;355.625.164;3.618.416.786
143,URY;Uruguay;535;3.989.287.203;37.484.762;356.363.998;3.588.198.185
144,USA;United States;535;5.757.511.347;5.762.809.642;5.707.771.013;585.104.084
145,"VEN;Venezuela, RB;535;2.598.212.829;2.568.276.499;2.464.066.675;2.511.074.066"
146,VNM;Vietnam;535;3.329.442.998;346.707.112;3.628.890.692;3.594.134.331
147,"YEM;Yemen, Rep.;535;2.457.196.045;;2.088.239.332;2.167.699.575"
148,ZAF;South Africa;535;4.494.045.052;4.310.185.149;4.244.579.587;4.050.662.518
149,ZMB;Zambia;535;3.684.327.749;358.109.939;3.321.013.735;3.239.676.237
150,ZWE;Zimbabwe;535;3.089.647.396;3.012.059.769;3.070.531.666;2.917.176.962
