countryCode;countryName;infrastructureValue1718,
AGO;Angola;,
ALB;Albania;4.263843536,
ARE;United Arab Emirates;6.231951714,
ARG;Argentina;3.253046036,
ARM;Armenia;4.277628899,
AUS;Australia;4.698541641,
AUT;Austria;5.851210594,
AZE;Azerbaijan;4.989622116,
BDI;Burundi;2.392444611,
BEL;Belgium;4.868750095,
BEN;Benin;2.376847029,
BFA;Burkina Faso;,
BGD;Bangladesh;2.914158106,
BGR;Bulgaria;3.889013767,
BHR;Bahrain;5.175052166,
BIH;Bosnia and Herzegovina;3.411338091,
BLZ;Belize;,
BOL;Bolivia;3.012727124,
BRA;Brazil;3.137576818,
BRB;Barbados;5.089326446,
BRN;Brunei Darussalam;4.363539696,
BTN;Bhutan;4.33689642,
BWA;Botswana;3.865415335,
CAN;Canada;5.210396767,
CHE;Switzerland;6.647141933,
CHL;Chile;4.73211813,
CHN;China;4.533333778,
CIV;Cote d'Ivoire;,
CMR;Cameroon;2.298566341,
COD;Congo,Dem. Rep.;2.016732931
COL;Colombia;3.109356403,
CPV;Cabo Verde;3.698783398,
CRI;Costa Rica;3.094289064,
CYP;Cyprus;4.718708992,
CZE;Czech Republic;4.609691143,
DEU;Germany;5.719192505,
DNK;Denmark;5.832118034,
DOM;Dominican Republic;3.553068161,
DZA;Algeria;3.45496726,
ECU;Ecuador;4.523515701,
EGY;Egypt,Arab Rep.;4.02020216
ESP;Spain;5.513834,
EST;Estonia;5.369565487,
ETH;Ethiopia;3.517645597,
FIN;Finland;6.099680901,
FRA;France;6.051942825,
GAB;Gabon;2.920995619,
GBR;United Kingdom;4.986065865,
GEO;Georgia;3.923647642,
GHA;Ghana;3.690955639,
GIN;Guinea;2.578125,
GMB;Gambia,The;4.087337017
GRC;Greece;4.343558788,
GTM;Guatemala;3.363133669,
GUY;Guyana;,
HKG;Hong Kong SAR,China;6.351648331
HND;Honduras;3.592039585,
HRV;Croatia;4.709223747,
HTI;Haiti;2.019607782,
HUN;Hungary;4.533150673,
IDN;Indonesia;4.128623009,
IND;India;4.561677933,
IRL;Ireland;4.362379074,
IRN;Iran,Islamic Rep.;3.963938951
ISL;Iceland;5.599850178,
ISR;Israel;4.911572933,
ITA;Italy;4.277553558,
JAM;Jamaica;4.172176361,
JOR;Jordan;4.20862484,
JPN;Japan;6.197003841,
KAZ;Kazakhstan;3.909531355,
KEN;Kenya;4.301241875,
KGZ;Kyrgyz Republic;3.036874771,
KHM;Cambodia;3.41007781,
KOR;Korea,Rep.;5.651405811
KWT;Kuwait;4.125414371,
LAO;Lao PDR;3.759013176,
LBN;Lebanon;2.332921505,
LBR;Liberia;2.573236942,
LBY;Libya;,
LKA;Sri Lanka;3.884459734,
LSO;Lesotho;2.653056145,
LTU;Lithuania;4.940376282,
LUX;Luxembourg;5.615082264,
LVA;Latvia;4.265236855,
MAR;Morocco;4.664927959,
MDA;Moldova;3.328729868,
MDG;Madagascar;2.658239603,
MEX;Mexico;4.070586205,
MKD;Macedonia,FYR;4.059390359
MLI;Mali;2.71579051,
MLT;Malta;4.17305994,
MMR;Myanmar;,
MNE;Montenegro;3.634852409,
MNG;Mongolia;3.258268118,
MOZ;Mozambique;2.484745741,
MRT;Mauritania;1.516202688,
MUS;Mauritius;4.492791176,
MWI;Malawi;2.478404522,
MYS;Malaysia;5.311330318,
NAM;Namibia;4.568369865,
NGA;Nigeria;2.316082478,
NIC;Nicaragua;3.510638237,
NLD;Netherlands;6.230635166,
NOR;Norway;5.197991371,
NPL;Nepal;2.86577034,
NZL;New Zealand;4.760043144,
OMN;Oman;4.876968861,
PAK;Pakistan;3.789005756,
PAN;Panama;4.704954624,
PER;Peru;3.089028835,
PHL;Philippines;2.961179733,
POL;Poland;4.248186588,
PRI;Puerto Rico;,
PRT;Portugal;5.693336964,
PRY;Paraguay;2.559470415,
QAT;Qatar;5.211749554,
ROU;Romania;3.312868357,
RUS;Russian Federation;3.982001543,
RWA;Rwanda;4.683115482,
SAU;Saudi Arabia;4.920776367,
SEN;Senegal;2.920382738,
SGP;Singapore;6.415508747,
SLE;Sierra Leone;2.634381294,
SLV;El Salvador;3.303022146,
SRB;Serbia;3.502137661,
SUR;Suriname;,
SVK;Slovak Republic;4.240309238,
SVN;Slovenia;4.592378616,
SWE;Sweden;5.628148079,
SWZ;Swaziland;3.836734772,
SYC;Seychelles;4.673913002,
SYR;Syrian Arab Republic;,
TCD;Chad;1.820748448,
THA;Thailand;4.129854202,
TJK;Tajikistan;4.173213959,
TLS;Timor-Leste;,
TTO;Trinidad and Tobago;4.331965923,
TUN;Tunisia;3.687209606,
TUR;Turkey;4.976790428,
TZA;Tanzania;3.587766409,
UGA;Uganda;3.330399275,
UKR;Ukraine;3.618416786,
URY;Uruguay;3.588198185,
USA;United States;5.85104084,
VEN;Venezuela,RB;2.511074066
VNM;Vietnam;3.594134331,
YEM;Yemen,Rep.;2.167699575
ZAF;South Africa;4.050662518,
ZMB;Zambia;3.239676237,
ZWE;Zimbabwe;2.917176962,
