id,date,tmin
ARM00087345,2017-03-01,NA
ARM00087345,2017-03-02,220
ARM00087345,2017-03-03,NA
ARM00087345,2017-03-04,NA
ARM00087345,2017-03-05,NA
ARM00087345,2017-03-06,NA
ARM00087345,2017-03-07,NA
ARM00087345,2017-03-08,NA
ARM00087345,2017-03-09,NA
ARM00087345,2017-03-10,NA
ARM00087345,2017-03-11,NA
ARM00087345,2017-03-12,NA
ARM00087345,2017-03-13,NA
ARM00087345,2017-03-14,NA
ARM00087345,2017-03-15,NA
ARM00087345,2017-03-16,NA
ARM00087345,2017-03-17,NA
ARM00087345,2017-03-18,NA
ARM00087345,2017-03-19,NA
ARM00087345,2017-03-20,NA
ARM00087345,2017-03-21,NA
ARM00087345,2017-03-22,NA
ARM00087345,2017-03-23,NA
ARM00087345,2017-03-24,NA
ARM00087345,2017-03-25,NA
ARM00087345,2017-03-26,NA
ARM00087345,2017-03-27,NA
ARM00087345,2017-03-28,NA
ARM00087345,2017-03-29,NA
ARM00087345,2017-03-30,NA
ARM00087345,2017-03-31,NA
